epoch,train_loss,train_acc,val_loss,val_acc
1,2.0233438377939788,53.62521891418564,1.1171596760258955,73.45297029702971
2,0.8246086701001535,81.24343257443083,0.7830137106425622,79.14603960396039
3,0.5290391858063597,87.42556917688266,0.6640044793340505,82.73514851485149
4,0.377143391101054,90.71803852889667,0.6684664938160602,81.99257425742574
5,0.3051410972156338,91.78633975481611,0.6584022807724336,83.10643564356435
6,0.2562584547357186,93.04728546409807,0.6456857301367849,82.98267326732673
7,0.22657052356770585,93.62521891418564,0.7111963641957617,82.11633663366337
8,0.21042500084588647,93.73029772329247,0.6398799873377178,83.10643564356435
9,0.19643211614486225,93.76532399299475,0.6663802094008847,82.98267326732673
10,0.18068172266529925,94.1506129597198,0.6759620532781506,82.24009900990099
11,0.1709084353258823,94.34325744308231,0.6901848584039173,82.05445544554455
12,0.16652770817030074,94.11558669001751,0.6807022940038758,83.35396039603961
13,0.15462650172412395,94.62346760070052,0.6805775013167923,82.61138613861387
14,0.1559569247941065,94.46584938704028,0.700767282159159,82.48762376237623
15,0.15131304908398144,94.22066549912434,0.7028909598787626,82.67326732673267
16,0.14729342191329214,94.65849387040281,0.718194044870781,82.79702970297029
17,0.14593997302688866,94.53590192644484,0.7102847249959322,82.42574257425743
18,0.13841373255923806,94.55341506129596,0.7090141572829738,81.99257425742574
19,0.13504737768030867,94.92119089316988,0.7478338109133035,81.18811881188118
20,0.13290194558843388,94.71103327495622,0.7380209099592677,82.48762376237623
21,0.12715254086147806,94.81611208406305,0.8041870337134848,81.12623762376238
22,0.12256298905665149,94.99124343257444,0.7661246047811765,82.61138613861387
23,0.12870260645432513,94.58844133099825,0.7629249002236653,82.17821782178218
24,0.10252667968187419,95.49912434325745,0.7551183593139856,83.29207920792079
25,0.0933761583542316,95.42907180385289,0.7739201431600925,82.42574257425743
26,0.09195455313821495,95.56917688266199,0.787458767078123,82.67326732673267
27,0.09248992053833505,95.42907180385289,0.7830568016461078,82.98267326732673
28,0.09044740023871874,95.6217162872154,0.7866813984389106,82.98267326732673
29,0.09070019864128621,95.44658493870404,0.8073567584997007,82.24009900990099
30,0.0883473693796397,95.3940455341506,0.8000761676595692,82.42574257425743
31,0.08655268041151654,95.41155866900175,0.8172385830240434,82.36386138613861
32,0.086631664938642,95.3940455341506,0.8000023624238869,82.61138613861387
