Epoch,Train Loss,Valid Loss,Train Accuracy,Valid Accuracy
1,2.028268291320636,1.3855207336360011,0.3969631236442516,0.5737527114967462
2,1.5386639585742703,1.09702313665686,0.5290130151843818,0.6729934924078091
3,1.308496893484355,1.1222341471704944,0.5888015184381779,0.6838394793926247
4,1.1923795112799773,0.7138721053970272,0.6191702819956616,0.789587852494577
5,1.0701641520380458,0.6169945245672916,0.6523861171366594,0.8161605206073753
6,1.003610833124681,0.9618972485949253,0.6729934924078091,0.7445770065075922
7,0.9752977454301083,0.7010734877709685,0.6762472885032538,0.8042299349240781
8,0.9124689842715408,0.5925118134453379,0.6875,0.8329718004338394
9,0.8935648657026745,0.6741284676666918,0.6983459869848156,0.8080260303687635
10,0.8383813003698984,0.590359141600543,0.7081073752711496,0.8427331887201736
11,0.82118862415805,0.7557200696961633,0.7131236442516269,0.7814533622559653
12,0.7773138091161653,0.6390944215758093,0.7209869848156182,0.8210412147505423
13,0.7483111496095534,0.5810831959905296,0.7352223427331888,0.8394793926247288
14,0.7630206004623726,0.7330744163743381,0.7316973969631236,0.8253796095444685
15,0.7549024715826109,0.7081862040634813,0.7308839479392625,0.8112798264642083
16,0.7099516480774074,0.5940493932314987,0.7405097613882863,0.8400216919739696
17,0.7072076043396285,0.6854648137914723,0.7399674620390455,0.836767895878525
18,0.6951746615496549,0.6043907263926391,0.7481019522776573,0.8427331887201736
19,0.6971159318050781,0.5639640136525549,0.7424078091106291,0.8573752711496746
20,0.6624801158905029,0.673196307287134,0.7525759219088937,0.8432754880694143
21,0.6415808032472412,0.5391153368199694,0.7535249457700651,0.8741865509761388
