Epoch,Train Loss,Valid Loss,Train Accuracy,Valid Accuracy
1,0.8683648260176874,0.5697350629619142,0.7225890356142457,0.8223289315726291
2,0.48728736768774433,0.48475510621292084,0.8419367747098839,0.8523409363745498
3,0.3650410563818046,0.5437907853117939,0.8815526210484194,0.8399359743897559
4,0.27188459959398414,0.5949640058788981,0.912765106042417,0.8387354941976791
5,0.2210204284183499,0.5961069862165341,0.9266706682673069,0.843937575030012
6,0.19119426671888123,0.5762316569896127,0.9360744297719088,0.8451380552220888
7,0.1792114223612576,0.5688621778514052,0.9418767507002801,0.8499399759903962
8,0.15742053539336037,0.549478680853929,0.9496798719487796,0.8611444577831132
9,0.14401640894622647,0.6146597826959421,0.9515806322529011,0.8495398159263705
10,0.13083800608042528,0.5703116330135913,0.9556822729091636,0.8555422168867547
11,0.09897930329913746,0.6753472210276646,0.9649859943977591,0.8455382152861144
12,0.0938731718811394,0.8308962839582906,0.9689875950380152,0.8235294117647058
13,0.11925480605996384,0.6269805328091042,0.9591836734693877,0.8527410964385754
14,0.08956675535580721,0.7221876257240276,0.9703881552621049,0.8543417366946778
15,0.07223035214303368,0.7206815276302401,0.9745898359343738,0.849139655862345
16,0.11770713300395365,0.7048800970461496,0.9631852741096438,0.8363345338135254
17,0.07822993193857786,0.6701089285131808,0.9729891956782714,0.8531412565026011
18,0.07224564912116656,0.692215264773741,0.9772909163665466,0.860344137655062
19,0.08059889354723311,0.7000494341800116,0.9730892356942777,0.8559423769507803
20,0.07809351096596835,0.7812246539774967,0.973889555822329,0.8355342136854742
21,0.09379211449817683,0.6823601882283141,0.9715886354541817,0.8531412565026011
22,0.05506014526367378,0.8054605934745809,0.9829931972789115,0.8339335734293718
23,0.08017947878792923,0.7170427307632251,0.9749899959983993,0.8627450980392157
24,0.07311983183160478,0.681045445371136,0.9764905962384954,0.8547418967587035
25,0.058214987373250086,0.7434735373383676,0.9809923969587835,0.8411364545818327
26,0.06599268942250355,0.76692162026044,0.9794917967186875,0.8367346938775511
27,0.06793799835230027,0.8029056579618453,0.9785914365746299,0.8495398159263705
28,0.06548437266303103,0.7548743773820759,0.9785914365746299,0.851140456182473
29,0.04949792338699727,0.8085949482834486,0.9844937975190076,0.8487394957983193
30,0.0547097904021431,0.739747758474952,0.9829931972789115,0.8503401360544217
31,0.06463594293399226,0.7450930498604316,0.9789915966386554,0.8419367747098839
32,0.05347127409847718,0.7812264557598245,0.9826930772308924,0.8527410964385754
33,0.05530147381922921,0.7548108222421936,0.9814925970388155,0.8563425370148059
34,0.07171574742885448,0.7070313707829774,0.9772909163665466,0.8519407763105242
35,0.05033926401451668,0.6580885283800868,0.9842937174869948,0.8535414165666266
36,0.0359547969493346,0.7540339497948477,0.9892957182873149,0.8507402961184474
37,0.04090212233576636,0.7575554345486959,0.9879951980792316,0.8503401360544217
38,0.05514133767406156,0.7715618366604716,0.9811924769907964,0.8467386954781913
39,0.048555560987720375,0.8783343947852267,0.9841936774709884,0.8343337334933973
40,0.04321345583606167,0.7954394194353716,0.9852941176470589,0.8483393357342938
41,0.051570006181859,0.8831478932133168,0.9842937174869948,0.8427370948379351
42,0.047498639464294876,0.8405729837647565,0.9857943177270908,0.8375350140056023
43,0.04473114911984487,0.7720363608944424,0.9857943177270908,0.8487394957983193
44,0.04436657271080916,0.8198818042099166,0.9860944377751101,0.8451380552220888
45,0.04584749641642785,0.8003373647386987,0.9851940776310524,0.8395358143257303
46,0.02666476893350713,1.0474503719946364,0.9914965986394558,0.82953181272509
47,0.04081995291873442,0.8507638172722706,0.9874949979991997,0.8375350140056023
48,0.04504536555273322,0.8094427392026745,0.9852941176470589,0.8563425370148059
