Epoch,Train Loss,Valid Loss,Train Accuracy,Valid Accuracy
1,0.7066463358959998,0.40431530062024257,0.7750944981100378,0.8609271523178808
2,0.32015768886363494,0.5641168932361231,0.8983620327593448,0.8454746136865342
3,0.2185842686718825,0.42799462461631643,0.9304913901721965,0.8807947019867549
4,0.1698154216301336,0.5246598610354312,0.9449811003779924,0.8660779985283297
5,0.15196446403203917,0.3232712186461779,0.9512809743805124,0.9013980868285504
6,0.11328693710076664,0.4239271537533045,0.9628307433851323,0.8844738778513613
7,0.11362558993495647,0.42338050208229233,0.9626207475850483,0.8910963944076526
8,0.11729379208560553,0.44568400796519275,0.9619907601847963,0.8962472406181016
9,0.09125929286391332,0.5047737074477257,0.9666106677866443,0.8852097130242825
10,0.09471791402187632,0.41047086013512546,0.9695506089878202,0.8896247240618101
11,0.0753191535395141,0.3728298168993302,0.9762704745905082,0.9139072847682119
12,0.049308275942781025,0.5158681977568352,0.9834103317933641,0.8793230316409124
13,0.07206674622303733,0.4784863702870626,0.9745905081898362,0.8977189109639441
14,0.07207774919972484,0.396184126640217,0.9748005039899202,0.9109639440765268
15,0.04637460000809096,0.4136949156885905,0.9846703065938681,0.9065489330389993
16,0.0806343303038944,0.3694520837334728,0.9764804703905922,0.9013980868285504
17,0.04289452710252682,0.3629661891897256,0.9861402771944561,0.9131714495952906
18,0.039137119892789056,0.4498373543250157,0.9859302813943721,0.8984547461368654
19,0.0690784292870171,0.51279444285861,0.9779504409911802,0.8881530537159676
20,0.07811772701530359,0.3615734413364865,0.9773204535909282,0.8999264164827079
21,0.0497948469477559,0.47136258366267586,0.9844603107937842,0.891832229580574
22,0.05086870632122252,0.48462932888826876,0.9842503149937001,0.8933038999264165
23,0.06363981493452625,0.4459463304526846,0.9800503989920202,0.8925680647534953
24,0.05194279655942467,0.366207715592637,0.9827803443931121,0.9116997792494481
25,0.045568906720680744,0.5230012174155714,0.9859302813943721,0.8984547461368654
26,0.05208989841037605,0.41190364423966563,0.9848803023939521,0.9065489330389993
27,0.033819386848893546,0.3897535613545431,0.9890802183956321,0.9168506254598969
28,0.03027449148799598,0.5228202060862794,0.9890802183956321,0.8969830757910228
29,0.03180128163339297,0.48879331575104906,0.9895002099958001,0.905813097866078
30,0.03710326101529814,0.47385092465531814,0.9865602687946241,0.9021339220014717
