Epoch,Train Loss,Valid Loss,Train Accuracy,Valid Accuracy
1,2.0559171722048806,1.8041531046231587,0.30652503793626706,0.34545454545454546
2,1.3569825688997905,1.5207437475522358,0.5235204855842185,0.4727272727272727
3,1.1693346472013564,1.5314208467801411,0.6009104704097117,0.4484848484848485
4,1.0277830333936782,1.3938744465510051,0.6312594840667678,0.5575757575757576
5,0.8689473157837277,1.2925497218966484,0.6965098634294385,0.5333333333333333
6,0.8794059554735819,1.515461226304372,0.6828528072837633,0.509090909090909
7,0.7912044723828634,1.3162259757518768,0.6965098634294385,0.5818181818181818
8,0.7343097102074396,1.389379898707072,0.7329286798179059,0.5757575757575758
9,0.6904237469037374,1.4799732267856598,0.7465857359635811,0.5878787878787879
10,0.8098167521612984,1.2763286530971527,0.7147192716236722,0.5696969696969697
11,0.7077233578477587,1.2937895556290944,0.7192716236722306,0.6
12,0.6399216410659608,1.1745149691899617,0.7587253414264037,0.6060606060606061
13,0.6282907057376135,1.375076840321223,0.7632776934749621,0.5636363636363636
14,0.6086134569985526,1.5654858350753784,0.7693474962063733,0.5575757575757576
15,0.5618663117999122,1.1930582821369171,0.7769347496206374,0.6121212121212121
16,0.5779440090769813,1.4031652609507244,0.7754172989377845,0.6
17,0.5074719289938608,1.320430060227712,0.8088012139605463,0.6181818181818182
18,0.5142311907949901,1.414206604162852,0.7905918057663126,0.593939393939394
19,0.5043677254801705,1.5839050809542339,0.8042488619119879,0.6
20,0.5718572040398916,1.2748687863349915,0.7738998482549317,0.5757575757575758
21,0.5418879616828192,1.915514608224233,0.7845220030349014,0.5878787878787879
22,0.553347491082691,1.631082812945048,0.7784522003034902,0.5696969696969697
23,0.5527212946187883,1.493079662322998,0.7860394537177542,0.5636363636363636
24,0.5297148305745352,1.5102219382921855,0.7921092564491654,0.5878787878787879
25,0.476509669706935,1.4798390070597331,0.8088012139605463,0.5515151515151515
26,0.4797426916304089,1.3901960949103038,0.7936267071320182,0.5636363636363636
27,0.4818509192693801,1.855858435233434,0.7921092564491654,0.6303030303030303
28,0.5739197532335917,1.5416379769643147,0.779969650986343,0.5818181818181818
29,0.5337697111424946,1.357232968012492,0.7905918057663126,0.6484848484848484
30,0.5583629111448923,1.6343937317530315,0.7784522003034902,0.5878787878787879
31,0.5481424118791308,1.4507539570331573,0.8012139605462822,0.593939393939394
32,0.4568380727654412,1.3622227211793263,0.8088012139605463,0.6181818181818182
33,0.5063577876204536,1.583604762951533,0.7981790591805766,0.6060606060606061
34,0.5453441384292784,1.7306825319925945,0.7890743550834598,0.6
35,0.46585447234766825,1.4835134744644165,0.8148710166919575,0.6303030303030303
36,0.4691301172687894,1.4357478817303975,0.7890743550834598,0.5454545454545454
37,0.4652696386689231,1.3642468849817913,0.8103186646433991,0.6545454545454545
38,0.40698060109501794,1.6275174121061962,0.8224582701062215,0.6545454545454545
39,0.43157022907620385,1.3087384402751923,0.8118361153262519,0.6121212121212121
40,0.45255289049375624,1.546128769715627,0.8133535660091047,0.5818181818181818
41,0.4584917610599881,1.9103052218755086,0.802731411229135,0.6121212121212121
42,0.4223859225000654,1.8113943537076314,0.7996965098634294,0.6363636363636364
43,0.417343822263536,1.8428268631299336,0.8118361153262519,0.5878787878787879
44,0.4337962901308423,1.630855957667033,0.8163884673748103,0.593939393939394
45,0.42804557368868873,1.8690495888392131,0.8118361153262519,0.5878787878787879
46,0.44211351587658837,1.78924356897672,0.7905918057663126,0.5757575757575758
47,0.4660180878071558,1.5329013268152873,0.7966616084977238,0.6121212121212121
48,0.43339688934030984,1.6543335517247517,0.7981790591805766,0.6060606060606061
49,0.4541039310750507,1.9717154403527577,0.8057663125948407,0.6121212121212121
50,0.45206871912592933,1.682743231455485,0.8088012139605463,0.6242424242424243
51,0.44122810590834843,1.502750962972641,0.8254931714719271,0.6545454545454545
52,0.43708411923476626,1.6764829854170482,0.8133535660091047,0.6424242424242425
53,0.4487926470381873,1.5620317459106445,0.8118361153262519,0.6242424242424243
54,0.4725928327866963,1.7500633498032887,0.8133535660091047,0.6121212121212121
55,0.3861356434367952,1.5566244423389435,0.8300455235204856,0.6
56,0.42187519939172835,1.9325464765230815,0.8133535660091047,0.6363636363636364
57,0.41285122505256105,1.5756469170252483,0.8042488619119879,0.593939393939394
58,0.4126031292336328,1.8796883424123128,0.8163884673748103,0.5515151515151515
59,0.4416160647358213,2.0903754035631814,0.7921092564491654,0.6060606060606061
60,0.4093091246627626,1.8175154129664104,0.8285280728376327,0.6363636363636364
61,0.3903094714596158,1.9298030734062195,0.8285280728376327,0.6121212121212121
62,0.4185924203622909,1.6120516955852509,0.8239757207890743,0.6545454545454545
63,0.4449697704542251,1.7750189701716106,0.8012139605462822,0.6303030303030303
64,0.4170867098229272,1.6655323108037312,0.8148710166919575,0.593939393939394
65,0.4048160392613638,1.5047567983468373,0.8224582701062215,0.6727272727272727
66,0.40240047233445303,1.7938109536965687,0.8270106221547799,0.6303030303030303
67,0.3696988100806872,1.9528072277704875,0.8300455235204856,0.6
68,0.3713482540278208,1.773569365342458,0.8285280728376327,0.6060606060606061
69,0.38358262465113685,1.9208532969156902,0.8209408194233687,0.593939393939394
70,0.39690342261677697,2.0532185435295105,0.8209408194233687,0.6121212121212121
71,0.3778713842233022,1.5599532425403595,0.8239757207890743,0.6363636363636364
72,0.3597219877299808,1.5499723553657532,0.8467374810318664,0.6242424242424243
73,0.32500170242218746,1.9952081044514973,0.8437025796661608,0.593939393939394
