Class,Recall
0,0.7843137254901961
1,0.9238095238095239
2,0.8955223880597015
3,0.9824561403508771
4,0.6808510638297872
5,0.6538461538461539
6,0.7466666666666667
7,0.6379310344827587
8,0.7894736842105263
9,0.975609756097561
10,0.8970588235294118
